tense,dataset,num_words,sentence_id,theme,numerosity,structure,sentence,audio_filename
future,naturalistic,9,nat_09923,work,singular,preposition,Does the boy on your right know the schedule?,nat_09923.wav
present,naturalistic,10,nat_19656,transport,singular,dependent,Does the train that I take not stop here anymore?,nat_19656.wav
past,naturalistic,10,nat_14736,basic,plural,dependent,Were the books that they read not interesting to them?,nat_14736.wav
present,naturalistic,10,nat_18653,science,singular,dependent,Is the coding language that he is learning not useful?,nat_18653.wav
future,naturalistic,9,nat_14471,sport,plural,simple,Will they be competing in the championship next year?,nat_14471.wav
future,naturalistic,8,nat_07628,nature,plural,preposition,The animals of the forest will be free,nat_07628.wav
future,naturalistic,11,nat_01337,transport,singular,independent,I will not take a taxi when I arrive at night,nat_01337.wav
future,naturalistic,11,nat_07513,health,plural,independent,More men will talk about their feelings when they feel safe,nat_07513.wav
future,naturalistic,8,nat_19305,shopping,singular,simple,Will the store not have a sale tomorrow?,nat_19305.wav
present,naturalistic,10,nat_02621,transport,plural,dependent,Do the tourists who travel to islands have travel insurance?,nat_02621.wav
present,naturalistic,8,nat_10163,emotion,plural,independent,Are those kids not excited but bored instead?,nat_10163.wav
present,naturalistic,7,nat_19832,food,singular,dependent,Is the recipe that I found easy?,nat_19832.wav
future,naturalistic,8,nat_15882,humanity,singular,simple,The student will not pass the history exam,nat_15882.wav
present,naturalistic,6,nat_07625,work,plural,simple,Do universities offer free accommodation now?,nat_07625.wav
past,naturalistic,9,nat_16112,basic,plural,dependent,The kids who played outside were very noisy yesterday,nat_16112.wav
past,naturalistic,9,nat_08247,food,plural,dependent,They had been drinking smoothies every morning for years,nat_08247.wav
past,naturalistic,7,nat_10980,health,singular,simple,Hadn't they told him to avoid stress?,nat_10980.wav
future,naturalistic,10,nat_12956,health,singular,independent,He will have recovered from his injury by next year,nat_12956.wav
present,naturalistic,10,nat_18558,nature,plural,dependent,The birds singing in the trees are not very loud,nat_18558.wav
present,naturalistic,7,nat_01027,weather,singular,dependent,Doesn't she think it will rain today?,nat_01027.wav
future,naturalistic,11,nat_06198,relationship,singular,dependent,My mom will have cooked dinner by the time I arrive,nat_06198.wav
present,naturalistic,7,nat_16249,nature,singular,simple,Does the river flow into the sea?,nat_16249.wav
past,naturalistic,11,nat_12741,health,plural,preposition,Did the adults with diabetes have to take insulin shots daily?,nat_12741.wav
future,naturalistic,7,nat_00803,food,singular,simple,The man will buy some fresh vegetables,nat_00803.wav
future,naturalistic,9,nat_14942,emotion,plural,simple,The actors will not be nervous on stage tonight,nat_14942.wav
past,naturalistic,6,nat_00139,transport,singular,simple,The driver was not paying attention,nat_00139.wav
future,naturalistic,10,nat_19604,housing,singular,dependent,I will not be able to afford the new sofa,nat_19604.wav
past,naturalistic,6,nat_04832,emotion,singular,simple,The couple wasn't getting along well,nat_04832.wav
past,naturalistic,8,nat_17742,housing,singular,dependent,The carpet that they installed was very soft,nat_17742.wav
present,naturalistic,10,nat_12210,shopping,plural,dependent,Can the customers who buy a lot get free gifts?,nat_12210.wav
future,naturalistic,9,nat_08637,art,singular,independent,The musician will not practice but will play games,nat_08637.wav
past,naturalistic,11,nat_06659,nature,singular,dependent,The flower that I picked was a wild and rare one,nat_06659.wav
past,naturalistic,9,nat_03525,basic,singular,dependent,The man who called me was not my brother,nat_03525.wav
future,naturalistic,7,nat_15645,shopping,plural,simple,The retailers will make big profits soon,nat_15645.wav
future,naturalistic,10,nat_02754,food,plural,dependent,The fruits that are not ripe will not be eaten,nat_02754.wav
present,naturalistic,7,nat_03922,housing,singular,preposition,Is the kitchen table made of wood?,nat_03922.wav
present,naturalistic,10,nat_12885,nature,singular,dependent,The path that leads to the waterfall is very narrow,nat_12885.wav
present,naturalistic,9,nat_13509,weather,plural,independent,The flowers bloom because the soil is rich there,nat_13509.wav
past,naturalistic,11,nat_11522,art,singular,preposition,Was the music from the piano not played by a child?,nat_11522.wav
present,naturalistic,10,nat_02034,housing,singular,dependent,Can you see the mess that the kids have made?,nat_02034.wav
present,naturalistic,6,nat_08139,transport,plural,simple,They are not buying new bikes,nat_08139.wav
past,naturalistic,9,nat_10440,nature,plural,preposition,Many animals lived in the forest near our village,nat_10440.wav
future,naturalistic,10,nat_12004,food,plural,independent,Many people will try new diets but few will succeed,nat_12004.wav
future,naturalistic,8,nat_08626,basic,plural,preposition,Will the players be practicing on the field?,nat_08626.wav
past,naturalistic,10,nat_09086,nature,plural,independent,Did the birds fly south because the weather was cold?,nat_09086.wav
past,naturalistic,6,nat_13151,weather,plural,simple,Didn't the forecasters predict no rain?,nat_13151.wav
past,naturalistic,11,nat_17709,relationship,singular,dependent,Did the woman who gave birth to you go to college?,nat_17709.wav
future,naturalistic,10,nat_16374,nature,plural,preposition,Will animals living in caves be affected by climate change?,nat_16374.wav
present,naturalistic,8,nat_03277,health,plural,dependent,The parents who prioritize self-care are happier people,nat_03277.wav
future,naturalistic,11,nat_03143,work,singular,independent,The new employee will learn quickly but still make some mistakes,nat_03143.wav
present,naturalistic,10,nat_01493,housing,plural,dependent,Don't the workers know how to use the new tools?,nat_01493.wav
past,naturalistic,7,nat_15970,weather,singular,simple,It was not a sunny day yesterday,nat_15970.wav
past,naturalistic,7,nat_13991,transport,plural,simple,The highways were under construction last summer,nat_13991.wav
future,naturalistic,11,nat_02448,science,singular,dependent,The tablet that my mom uses will need a new charger,nat_02448.wav
future,naturalistic,11,nat_03579,nature,singular,dependent,Will the cat that I will adopt like to play outside?,nat_03579.wav
present,naturalistic,6,nat_14738,weather,singular,simple,Doesn't it snow in winter here?,nat_14738.wav
past,naturalistic,10,nat_06315,weather,plural,dependent,Did the storms that hit the coast not cause damage?,nat_06315.wav
future,naturalistic,9,nat_09222,shopping,singular,preposition,The product will not be available in stores soon,nat_09222.wav
past,naturalistic,9,nat_08470,housing,singular,dependent,Didn't the repairman fix the leaky faucet last week?,nat_08470.wav
past,naturalistic,9,nat_14133,transport,singular,preposition,Did she not drive her car to the beach?,nat_14133.wav
future,naturalistic,9,nat_06029,shopping,singular,preposition,The cashier will give you a receipt after payment,nat_06029.wav
past,naturalistic,8,nat_12601,transport,singular,preposition,Was the traffic on the highway very bad?,nat_12601.wav
past,naturalistic,7,nat_03843,relationship,singular,simple,Had your sister eaten all her dinner?,nat_03843.wav
past,naturalistic,10,nat_03668,nature,plural,dependent,Had the bees that buzzed around the flowers made honey?,nat_03668.wav
future,naturalistic,8,nat_15535,relationship,plural,dependent,Don't the kids think their parents won't understand?,nat_15535.wav
past,naturalistic,7,nat_14667,shopping,singular,simple,The employee did not know the price,nat_14667.wav
past,naturalistic,7,nat_18798,nature,plural,simple,Were the rivers never full of fish?,nat_18798.wav
future,naturalistic,8,nat_18695,humanity,plural,simple,The students will learn about different world religions,nat_18695.wav
present,naturalistic,8,nat_09564,relationship,singular,preposition,Does she not get along with her brother?,nat_09564.wav
future,naturalistic,7,nat_17700,health,singular,simple,The treatment will cure the infection quickly,nat_17700.wav
past,naturalistic,11,nat_14307,science,plural,independent,The students didn't understand the math problem but the teacher did,nat_14307.wav
present,naturalistic,8,nat_11794,relationship,plural,preposition,Friends of my brother are not coming over,nat_11794.wav
present,naturalistic,7,nat_07270,art,singular,dependent,She makes jewelry that is truly unique,nat_07270.wav
present,naturalistic,6,nat_01606,nature,singular,simple,The animal is very hungry now,nat_01606.wav
present,naturalistic,10,nat_07261,humanity,singular,independent,The sociologist studies human behavior and how it affects society,nat_07261.wav
present,naturalistic,9,nat_17617,science,plural,preposition,The computers in our lab are very fast machines,nat_17617.wav
past,naturalistic,12,nat_00980,health,plural,independent,The obese individuals had been dieting for months but saw no results,nat_00980.wav
present,naturalistic,8,nat_05034,emotion,singular,dependent,The woman who is sad is not smiling,nat_05034.wav
past,naturalistic,9,nat_13309,weather,plural,independent,We went hiking when the weather was cooler yesterday,nat_13309.wav
present,naturalistic,6,nat_06245,food,plural,simple,Do those smoothies contain real yogurt?,nat_06245.wav
present,naturalistic,9,nat_16770,work,singular,independent,I am not learning anything new at my job,nat_16770.wav
past,naturalistic,8,nat_06667,art,singular,simple,Did she write poetry in her free time?,nat_06667.wav
future,naturalistic,8,nat_15888,basic,singular,preposition,The flowers in the garden will not bloom,nat_15888.wav
present,naturalistic,9,nat_10934,nature,singular,dependent,Is the flower that blooms every year very beautiful?,nat_10934.wav
future,naturalistic,10,nat_07975,emotion,plural,dependent,The people who live there will never feel safe again,nat_07975.wav
past,naturalistic,6,nat_08332,basic,plural,preposition,The guests had not arrived yet,nat_08332.wav
past,naturalistic,8,nat_09962,science,plural,dependent,Were the materials that they used very expensive?,nat_09962.wav
present,naturalistic,8,nat_06202,work,singular,preposition,She is not studying for her exam tonight,nat_06202.wav
present,naturalistic,8,nat_05657,weather,singular,preposition,Does it not get dark early in autumn?,nat_05657.wav
present,naturalistic,11,nat_18082,shopping,plural,preposition,People next to the counter are waiting for their turn patiently,nat_18082.wav
past,naturalistic,10,nat_08523,emotion,plural,independent,Were the players feeling happy because they won the game?,nat_08523.wav
past,naturalistic,10,nat_01534,weather,plural,preposition,Did the cold winds from the north bring snow yesterday?,nat_01534.wav
past,naturalistic,8,nat_00424,housing,singular,preposition,She was not good at cleaning the house,nat_00424.wav
future,naturalistic,7,nat_15529,food,singular,simple,Will the cake be ready by tonight?,nat_15529.wav
present,naturalistic,8,nat_05394,science,plural,simple,Are electric vehicles not popular in many countries?,nat_05394.wav
past,naturalistic,9,nat_15005,relationship,plural,simple,The kids had eaten all the cookies before bedtime,nat_15005.wav
present,naturalistic,9,nat_08483,relationship,plural,preposition,The people in front of us are not married,nat_08483.wav
past,naturalistic,8,nat_12650,art,singular,simple,Had he been playing the guitar since childhood?,nat_12650.wav
future,naturalistic,10,nat_09598,art,singular,dependent,The singer will not perform at the festival next year,nat_09598.wav
past,naturalistic,10,nat_19026,housing,plural,preposition,Did the cleaners vacuum all the carpets in the bedrooms?,nat_19026.wav
present,naturalistic,8,nat_10604,shopping,plural,simple,They have a wide range of products available,nat_10604.wav
future,naturalistic,8,nat_01962,transport,plural,dependent,We will not be using our own vehicles,nat_01962.wav
future,naturalistic,10,nat_09773,science,plural,preposition,The apps on our phones will be updating automatically tonight,nat_09773.wav
present,naturalistic,9,nat_19445,art,singular,dependent,Can the musician playing the guitar hear herself sing?,nat_19445.wav
present,naturalistic,5,nat_13556,emotion,singular,simple,She doesn't enjoy the party,nat_13556.wav
future,naturalistic,7,nat_02145,emotion,singular,simple,Doesn't she think he will be frustrated?,nat_02145.wav
present,naturalistic,8,nat_16030,transport,plural,dependent,Buses that travel downtown are always very crowded,nat_16030.wav
present,naturalistic,10,nat_00878,nature,singular,dependent,Can a plant that needs water grow in dry land?,nat_00878.wav
past,naturalistic,9,nat_16590,transport,singular,independent,He didn't go on vacation due to bad weather,nat_16590.wav
past,naturalistic,11,nat_03393,relationship,singular,dependent,I was not close to my grandparents when I was young,nat_03393.wav
present,naturalistic,8,nat_10254,basic,singular,dependent,Doesn't the girl standing over there look unhappy?,nat_10254.wav
future,naturalistic,11,nat_06871,relationship,plural,dependent,Will the guys that my sister will date be nice people?,nat_06871.wav
future,naturalistic,10,nat_11802,weather,singular,independent,The summer will be dry or very rainy this year,nat_11802.wav
future,naturalistic,9,nat_16660,sport,plural,simple,Players will have to follow new rules next season,nat_16660.wav
present,naturalistic,9,nat_14443,emotion,singular,dependent,Isn't she unhappy when her favorite store is closed?,nat_14443.wav
past,naturalistic,9,nat_06148,work,singular,preposition,Was the teacher standing in front of the classroom?,nat_06148.wav
present,naturalistic,6,nat_07466,work,plural,simple,Are the new courses very interesting?,nat_07466.wav
future,naturalistic,9,nat_15465,health,plural,simple,Will the patients be able to manage their pain?,nat_15465.wav
past,naturalistic,11,nat_11509,work,plural,independent,Did the team members work well together because they were friends?,nat_11509.wav
present,naturalistic,9,nat_18789,nature,plural,preposition,Are the animals in the forest very active now?,nat_18789.wav
future,naturalistic,12,nat_03310,basic,plural,independent,We will invite our friends to the party and they will come,nat_03310.wav
past,naturalistic,9,nat_01419,nature,singular,dependent,A bear had been spotted in the forest before,nat_01419.wav
past,naturalistic,10,nat_02238,nature,plural,preposition,Did the plants in the greenhouse grow well last year?,nat_02238.wav
present,naturalistic,7,nat_13362,humanity,plural,simple,Do most countries have free press today?,nat_13362.wav
present,naturalistic,8,nat_04165,basic,singular,dependent,I am glad that you are feeling better,nat_04165.wav
past,naturalistic,8,nat_17413,health,plural,simple,Were the people not aware of the disease?,nat_17413.wav
future,naturalistic,11,nat_07375,transport,singular,independent,The bike will not be fixed in time for the ride,nat_07375.wav
future,naturalistic,9,nat_19069,housing,plural,preposition,The neighbors will help with the house repairs tomorrow,nat_19069.wav
future,naturalistic,10,nat_01282,shopping,singular,dependent,Will the store that sells shoes have a sale tomorrow?,nat_01282.wav
past,naturalistic,7,nat_14885,sport,plural,simple,Had the runners been training for years?,nat_14885.wav
future,naturalistic,9,nat_04352,transport,plural,preposition,The cars in the garage will not be fixed,nat_04352.wav
past,naturalistic,9,nat_01084,relationship,plural,simple,The children were playing outside with their cousins yesterday,nat_01084.wav
past,naturalistic,10,nat_01297,sport,singular,independent,Did the athlete break a record or just come close?,nat_01297.wav
future,naturalistic,10,nat_13613,housing,singular,simple,The walls will not be painted before we move in,nat_13613.wav
future,naturalistic,8,nat_07911,health,singular,simple,Will she have fully recovered by next month?,nat_07911.wav
past,naturalistic,7,nat_16664,sport,singular,simple,Was the football player injured during practice?,nat_16664.wav
present,naturalistic,9,nat_18455,health,singular,preposition,Does your brother not have a healthy eating habit?,nat_18455.wav
past,naturalistic,9,nat_04600,science,plural,dependent,Did the technicians who fixed it have good skills?,nat_04600.wav
past,naturalistic,9,nat_15121,emotion,singular,preposition,A sense of calm had washed over me suddenly,nat_15121.wav
present,naturalistic,9,nat_07728,food,singular,independent,Why does she prefer eating fruits to vegetables daily?,nat_07728.wav
present,naturalistic,7,nat_17254,nature,singular,simple,The tree does not bloom in winter,nat_17254.wav
past,naturalistic,8,nat_19073,shopping,plural,preposition,The customers of the store were not satisfied,nat_19073.wav
past,naturalistic,9,nat_04614,food,plural,dependent,They didn't eat the cake that I baked yesterday,nat_04614.wav
present,naturalistic,8,nat_06661,nature,singular,preposition,The plant in the garden needs more water,nat_06661.wav
present,naturalistic,9,nat_05107,weather,plural,preposition,The leaves of trees do not fall in spring,nat_05107.wav
past,naturalistic,9,nat_16464,food,singular,dependent,Had he eaten the sandwich that his mother prepared?,nat_16464.wav
future,naturalistic,11,nat_10577,nature,singular,preposition,Is the animal in the forest not going to eat tonight?,nat_10577.wav
future,naturalistic,9,nat_12994,transport,singular,preposition,Does the flight to the island leave at dawn?,nat_12994.wav
present,naturalistic,6,nat_02020,science,plural,simple,Researchers spend years studying complex topics,nat_02020.wav
past,naturalistic,9,nat_17021,housing,plural,preposition,The houses on the hill were not for sale,nat_17021.wav
past,naturalistic,10,nat_08416,shopping,singular,dependent,The store where he shopped had a price match policy,nat_08416.wav
future,naturalistic,10,nat_17843,sport,plural,preposition,Are the golfers on the course not playing well today?,nat_17843.wav
past,naturalistic,9,nat_08293,emotion,plural,simple,Did the kids feel sad when their dog died?,nat_08293.wav
past,naturalistic,7,nat_18014,emotion,plural,simple,Were the students not excited about summer?,nat_18014.wav
present,naturalistic,9,nat_05000,housing,plural,simple,The owners are selling their old house for cash,nat_05000.wav
past,naturalistic,8,nat_15738,humanity,singular,simple,The poet wrote a beautiful sonnet last week,nat_15738.wav
present,naturalistic,7,nat_06703,housing,plural,simple,The prices are not going down now,nat_06703.wav
present,naturalistic,10,nat_13950,transport,singular,dependent,Does the car that I bought not have air conditioning?,nat_13950.wav
past,naturalistic,11,nat_06888,art,plural,dependent,The poems they wrote were not good enough to be published,nat_06888.wav
past,naturalistic,10,nat_07563,humanity,plural,preposition,The workers in the factory had not received their pay,nat_07563.wav
present,naturalistic,7,nat_01272,food,singular,independent,Why doesn't he drink milk or juice?,nat_01272.wav
past,naturalistic,8,nat_09849,science,singular,simple,The lab did not have enough equipment then,nat_09849.wav
past,naturalistic,9,nat_05605,food,plural,independent,The boys ate pizza yet still wanted more food,nat_05605.wav
future,naturalistic,10,nat_00221,relationship,plural,simple,Do brothers and sisters always fight when they are young?,nat_00221.wav
present,naturalistic,7,nat_12620,shopping,singular,simple,The quality is not worth the price,nat_12620.wav
past,naturalistic,9,nat_02948,art,plural,dependent,Had the poets who wrote the verses been published?,nat_02948.wav
present,naturalistic,5,nat_06243,basic,singular,simple,I don't have time now,nat_06243.wav
future,naturalistic,9,nat_17578,health,plural,simple,Will the elderly be able to live healthier lives?,nat_17578.wav
past,naturalistic,8,nat_13388,work,singular,simple,Did she not attend the job interview yesterday?,nat_13388.wav
present,naturalistic,9,nat_00210,emotion,plural,preposition,Are the girls in front of us not smiling?,nat_00210.wav
future,naturalistic,9,nat_19138,weather,plural,preposition,The nights of autumn will not be very cold,nat_19138.wav
future,naturalistic,12,nat_14436,sport,singular,preposition,The new student in our class will not be a good player,nat_14436.wav
past,naturalistic,9,nat_00499,relationship,singular,independent,Did she have a fight with her brother yesterday?,nat_00499.wav
future,naturalistic,11,nat_18620,weather,plural,independent,The climate will change so we will adapt our habits slowly,nat_18620.wav
past,naturalistic,10,nat_06580,relationship,plural,dependent,My siblings were not happy when I got the gift,nat_06580.wav
future,naturalistic,10,nat_09912,relationship,singular,preposition,Does the girl with a big smile have a sister?,nat_09912.wav
future,naturalistic,9,nat_04706,science,singular,simple,The student will solve the difficult math problem easily,nat_04706.wav
past,naturalistic,10,nat_00180,housing,plural,dependent,We didn't use the furniture that our parents gave us,nat_00180.wav
future,naturalistic,9,nat_15510,basic,singular,dependent,Do you think I will like the new restaurant?,nat_15510.wav
future,naturalistic,9,nat_04254,science,plural,simple,Will we be able to live forever with technology?,nat_04254.wav
past,naturalistic,8,nat_08272,shopping,singular,simple,The product did not come with a warranty,nat_08272.wav
future,naturalistic,9,nat_05211,relationship,singular,dependent,Will my sister not be attending the family reunion?,nat_05211.wav
future,naturalistic,7,nat_15841,health,singular,simple,Isn't she going to quit smoking soon?,nat_15841.wav
future,naturalistic,8,nat_18570,basic,plural,preposition,Will the musicians be playing at the concert?,nat_18570.wav
future,naturalistic,8,nat_16320,science,singular,simple,The internet connection will not be stable tonight,nat_16320.wav
present,naturalistic,11,nat_00466,transport,singular,independent,I don't drive to work but my sister does every day,nat_00466.wav
past,naturalistic,10,nat_03458,transport,singular,independent,She had been driving for hours when she got tired,nat_03458.wav
past,naturalistic,8,nat_00059,humanity,singular,simple,The ancient temple was built on a hilltop,nat_00059.wav
past,naturalistic,8,nat_04388,transport,plural,preposition,The trains were delayed because of bad weather,nat_04388.wav
present,naturalistic,9,nat_04505,health,singular,simple,I feel anxious when I am alone at night,nat_04505.wav
present,naturalistic,8,nat_08522,housing,plural,preposition,The stairs in this house are very steep,nat_08522.wav
future,naturalistic,6,nat_00928,weather,singular,simple,Will it snow on Christmas day?,nat_00928.wav
future,naturalistic,10,nat_08468,health,singular,independent,His sister will be eating nutritious meals for her health,nat_08468.wav
future,naturalistic,11,nat_04153,health,plural,independent,They will not recover quickly but their friends will be supportive,nat_04153.wav
future,naturalistic,8,nat_08922,basic,singular,preposition,Won't the person next to you be eating?,nat_08922.wav
present,naturalistic,6,nat_10798,health,singular,simple,Is she allergic to any foods?,nat_10798.wav
future,naturalistic,11,nat_13339,science,plural,dependent,Are the programs that they will write going to be useful?,nat_13339.wav
present,naturalistic,9,nat_16354,food,plural,dependent,Are the babies who eat solid food growing fast?,nat_16354.wav
future,naturalistic,9,nat_03857,art,singular,preposition,Is the person behind the camera a professional photographer?,nat_03857.wav
present,naturalistic,8,nat_14452,emotion,plural,simple,Many people do not feel safe at night,nat_14452.wav
future,naturalistic,10,nat_16101,nature,plural,simple,Are the oceans going to rise due to melting ice?,nat_16101.wav
future,naturalistic,9,nat_13696,basic,singular,independent,The flowers will bloom because the weather is warm,nat_13696.wav
present,naturalistic,9,nat_07948,work,plural,preposition,Do the employees in this office work long hours?,nat_07948.wav
past,naturalistic,9,nat_17357,basic,plural,dependent,Were the jokes they told funny to your parents?,nat_17357.wav
future,naturalistic,7,nat_16686,housing,singular,simple,The contractor will finish the renovation soon,nat_16686.wav
future,naturalistic,9,nat_19892,science,singular,preposition,The solar panel will generate more energy tomorrow morning,nat_19892.wav
future,naturalistic,11,nat_07719,nature,plural,independent,The flowers will not be beautiful yet they will smell nice,nat_07719.wav
future,naturalistic,10,nat_14353,work,plural,dependent,The students who will participate in the contest are talented,nat_14353.wav
past,naturalistic,10,nat_02878,work,plural,preposition,Were the people in your office very friendly to newcomers?,nat_02878.wav
present,naturalistic,7,nat_02300,work,plural,simple,New employees get a lot of training,nat_02300.wav
present,naturalistic,10,nat_03532,weather,plural,dependent,The days that are sunny and warm are perfect outdoors,nat_03532.wav
present,naturalistic,7,nat_16415,health,singular,preposition,A good diet is necessary for well-being,nat_16415.wav
present,naturalistic,11,nat_10594,health,plural,independent,If people are tired they should take a short nap quietly,nat_10594.wav
future,naturalistic,8,nat_07649,science,singular,simple,Will the engineer have designed a new robot?,nat_07649.wav
past,naturalistic,8,nat_17534,weather,plural,simple,Had the days gotten shorter in late winter?,nat_17534.wav
present,naturalistic,9,nat_00718,relationship,plural,independent,Do siblings not get along when they are young?,nat_00718.wav
future,naturalistic,10,nat_02315,basic,plural,preposition,The friends will not meet at the park on Friday,nat_02315.wav
past,naturalistic,10,nat_12890,basic,plural,independent,They were smiling at us when we took the photo,nat_12890.wav
future,naturalistic,9,nat_15019,housing,plural,preposition,The new residents will take care of the garden,nat_15019.wav
past,naturalistic,8,nat_11135,sport,plural,independent,They had been exercising while their friends slept,nat_11135.wav
past,naturalistic,10,nat_05337,nature,plural,preposition,Did the fish in the sea swim in schools yesterday?,nat_05337.wav
future,naturalistic,9,nat_09527,emotion,singular,dependent,He will not be feeling calm during the storm,nat_09527.wav
future,naturalistic,10,nat_14651,food,plural,dependent,People following this diet will lose weight quickly and safely,nat_14651.wav
present,naturalistic,5,nat_13856,housing,singular,simple,Is my room tidy now?,nat_13856.wav
present,naturalistic,8,nat_00200,emotion,plural,preposition,Do the kids next to us feel scared?,nat_00200.wav
future,naturalistic,10,nat_01355,art,plural,dependent,The dancers who attend the workshop will learn new choreography,nat_01355.wav
past,naturalistic,9,nat_17592,weather,singular,preposition,The sun was not shining through the thick clouds,nat_17592.wav
past,naturalistic,6,nat_18138,nature,singular,simple,The river was not very deep,nat_18138.wav
past,naturalistic,8,nat_05916,emotion,plural,simple,The students were not satisfied with the grades,nat_05916.wav
past,naturalistic,6,nat_16167,food,singular,simple,Was the smoothie you made healthy?,nat_16167.wav
present,naturalistic,8,nat_12076,housing,singular,dependent,I need the hammer that my dad uses,nat_12076.wav
present,naturalistic,10,nat_11846,transport,plural,dependent,The trains we take to go home are very slow,nat_11846.wav
past,naturalistic,9,nat_03375,science,plural,simple,Did the doctors use technology to save lives daily?,nat_03375.wav
present,naturalistic,11,nat_10312,relationship,plural,independent,The friends are not meeting up tonight because it's too late,nat_10312.wav
present,naturalistic,6,nat_09534,shopping,plural,simple,Are sales taxes included in prices?,nat_09534.wav
past,naturalistic,7,nat_16668,housing,plural,simple,They had a lot of old furniture,nat_16668.wav
future,naturalistic,10,nat_08034,weather,singular,dependent,The cold front that is moving will not bring snow,nat_08034.wav
past,naturalistic,7,nat_16969,art,plural,simple,They had been writing poetry for years,nat_16969.wav
present,naturalistic,8,nat_07149,basic,singular,simple,Don't you like this gift I gave you?,nat_07149.wav
future,naturalistic,10,nat_18505,shopping,plural,dependent,Will the new stores that are opening sell cheaper products?,nat_18505.wav
future,naturalistic,8,nat_16411,transport,plural,dependent,Will the tourists not be visiting the city?,nat_16411.wav
past,naturalistic,9,nat_02534,relationship,plural,preposition,Our friends had been together since high school days,nat_02534.wav
past,naturalistic,6,nat_01430,food,singular,simple,The girl didn't want ice cream,nat_01430.wav
past,naturalistic,10,nat_05532,sport,plural,dependent,The sports equipment that wasn't maintained properly didn't last long,nat_05532.wav
future,naturalistic,8,nat_11149,basic,plural,simple,Are the tourists going to visit the museum?,nat_11149.wav
future,naturalistic,10,nat_14768,sport,plural,independent,The teams will work together but they have different strategies,nat_14768.wav
present,naturalistic,7,nat_13941,basic,plural,simple,We invite our neighbors to dinner often,nat_13941.wav
past,naturalistic,8,nat_08443,health,singular,simple,The patient was diagnosed with a rare disease,nat_08443.wav
future,naturalistic,10,nat_02133,emotion,singular,independent,His sister will not love him because he is mean,nat_02133.wav
past,naturalistic,8,nat_17165,work,singular,dependent,She used to teach at a local school,nat_17165.wav
past,naturalistic,10,nat_12797,relationship,plural,independent,The kids didn't eat their dinner because they were full,nat_12797.wav
future,naturalistic,9,nat_16119,weather,singular,independent,The heat will increase for a few more days,nat_16119.wav
past,naturalistic,8,nat_01624,nature,singular,preposition,The fish had swum quickly through the water,nat_01624.wav
past,naturalistic,9,nat_14674,relationship,singular,independent,Wasn't he sad when his mom didn't visit him?,nat_14674.wav
future,naturalistic,7,nat_03489,art,plural,simple,The actors will memorize their lines quickly,nat_03489.wav
future,naturalistic,10,nat_14374,weather,plural,independent,They will plant flowers if spring comes early this year,nat_14374.wav
present,naturalistic,10,nat_15576,basic,plural,dependent,Do the tourists who are visiting need a map now?,nat_15576.wav
present,naturalistic,11,nat_03656,weather,singular,simple,Does it rain a lot in the summer where you live?,nat_03656.wav
past,naturalistic,8,nat_16547,food,singular,preposition,The person next to me was not eating,nat_16547.wav
past,naturalistic,7,nat_12793,basic,singular,simple,I had eaten a sandwich before dinner,nat_12793.wav
past,naturalistic,10,nat_11526,housing,plural,independent,Did the owners sell the house because it needed repairs?,nat_11526.wav
future,naturalistic,8,nat_15100,work,plural,dependent,The managers will not hire anyone without experience,nat_15100.wav
past,naturalistic,8,nat_08350,emotion,plural,dependent,The things that scared us were not real,nat_08350.wav
past,naturalistic,8,nat_00993,weather,singular,preposition,Didn't the weather forecast say it wouldn't rain?,nat_00993.wav
present,naturalistic,9,nat_06826,nature,singular,dependent,The animal that eats grass is a big rabbit,nat_06826.wav
present,naturalistic,9,nat_09025,basic,singular,independent,My mom is not home because she is working,nat_09025.wav
present,naturalistic,9,nat_16440,work,singular,independent,The company hires people who have good communication skills,nat_16440.wav
present,naturalistic,11,nat_04186,basic,plural,independent,Do the students have time to study yet still go out?,nat_04186.wav
past,naturalistic,8,nat_08732,transport,singular,simple,She was not driving her car last night,nat_08732.wav
present,naturalistic,8,nat_18165,health,singular,dependent,The woman who practices mindfulness feels calm mentally,nat_18165.wav
past,naturalistic,8,nat_01692,transport,plural,simple,They had gone on a road trip together,nat_01692.wav
past,naturalistic,9,nat_17547,work,singular,preposition,Did the teacher collect the homework from the students?,nat_17547.wav
future,naturalistic,10,nat_09863,health,plural,dependent,Will the athletes training hard avoid serious injuries next year?,nat_09863.wav
past,naturalistic,11,nat_13885,food,plural,independent,Were the students not allowed to eat in class or outside?,nat_13885.wav
past,naturalistic,11,nat_13413,basic,plural,preposition,The women at the store were buying gifts for their kids,nat_13413.wav
past,naturalistic,11,nat_04438,basic,plural,preposition,Did the friends at the beach have a good time swimming?,nat_04438.wav
past,naturalistic,10,nat_11776,relationship,singular,independent,Her sister was mean so she did not like her,nat_11776.wav
past,naturalistic,11,nat_10609,housing,singular,independent,The air conditioner was not working yet it was still cold,nat_10609.wav
future,naturalistic,10,nat_00936,sport,plural,preposition,Will the swimmers in the pool be able to win?,nat_00936.wav
present,naturalistic,8,nat_11541,basic,plural,preposition,The people in the car are not talking,nat_11541.wav
present,naturalistic,8,nat_12101,humanity,singular,preposition,The lady with the child is a politician,nat_12101.wav
present,naturalistic,6,nat_13952,basic,plural,simple,The teachers are not very strict,nat_13952.wav
